Binance Pair,Currency,Market,Last Update
WBTCBTC,WBTC,BTC,
REQUSDT,REQ,USDT,
APEUSDT,APE,USDT,
FLUXUSDT,FLUX,USDT,
COTIUSDT,COTI,USDT,
VOXELUSDT,VOXEL,USDT,
RLCUSDT,RLC,USDT,
BICOUSDT,BICO,USDT,
API3USDT,API3,USDT,
BNTUSDT,BNT,USDT,
IMXUSDT,IMX,USDT,
FLOWUSDT,FLOW,USDT,
GTCUSDT,GTC,USDT,
THETAUSDT,THETA,USDT,
TFUELUSDT,TFUEL,USDT,
OCEANUSDT,OCEAN,USDT,
LAZIOUSDT,LAZIO,USDT,
SANTOSUSDT,SANTOS,USDT,
ALPINEUSDT,ALPINE,USDT,
PORTOUSDT,PORTO,USDT,
RENUSDT,REN,USDT,
CELRUSDT,CELR,USDT,
SKLUSDT,SKL,USDT,
VITEUSDT,VITE,USDT,
WAXPUSDT,WAXP,USDT,
LTOUSDT,LTO,USDT,
FETUSDT,FET,USDT,
LOKAUSDT,LOKA,USDT,
ICPUSDT,ICP,USDT,
TUSDT,T,USDT,
OPUSDT,OP,USDT,
ROSEUSDT,ROSE,USDT,
CELOUSDT,CELO,USDT,
KDAUSDT,KDA,USDT,
KSMUSDT,KSM,USDT,
ACHUSDT,ACH,USDT,
DARUSDT,DAR,USDT,
SYSUSDT,SYS,USDT,
RADUSDT,RAD,USDT,
ILVUSDT,ILV,USDT,
LDOUSDT,LDO,USDT,
RAREUSDT,RARE,USDT,
LSKUSDT,LSK,USDT,
DGBUSDT,DGB,USDT,
REEFUSDT,REEF,USDT,
ALICEUSDT,ALICE,USDT,
FORTHUSDT,FORTH,USDT,
ASTRUSDT,ASTR,USDT,
BTRSTUSDT,BTRST,USDT,
SANDUSDT,SAND,USDT,
BALUSDT,BAL,USDT,
GLMUSDT,GLM,USDT,
CLVUSDT,CLV,USDT,
QNTUSDT,QNT,USDT,
STGUSDT,STG,USDT,
AXLUSDT,AXL,USDT,
KAVAUSDT,KAVA,USDT,
APTUSDT,APT,USDT,
MASKUSDT,MASK,USDT,
BOSONUSDT,BOSON,USDT,
PONDUSDT,POND,USDT,
MXCUSDT,MXC,USDT,
JAMUSDT,JAM,USDT,
TRACUSDT,TRAC,USDT,
PROMUSDT,PROM,USDT,
DIAUSDT,DIA,USDT,
ADAETH,ADA,ETH,
DOGEBTC,DOGE,BTC,
LOOMUSDT,LOOM,USDT,
STMXUSDT,STMX,USDT,
USDTUSD,USDT,USD,
POLYXUSDT,POLYX,USDT,
IOSTUSDT,IOST,USDT,
MATICETH,MATIC,ETH,
SOLETH,SOL,ETH,
ARBUSDT,ARB,USDT,
FLOKIUSDT,FLOKI,USDT,
XECUSDT,XEC,USDT,
BLURUSDT,BLUR,USDT,
ANKRUSDT,ANKR,USDT,
DAIUSDT,DAI,USDT,
DASHUSDT,DASH,USDT,
HBARUSDT,HBAR,USDT,
ICXUSDT,ICX,USDT,
IOTAUSDT,IOTA,USDT,
RVNUSDT,RVN,USDT,
XNOUSDT,XNO,USDT,
XTZUSDT,XTZ,USDT,
ZILUSDT,ZIL,USDT,
ORBSUSDT,ORBS,USDT,
ADXUSDT,ADX,USDT,
FORTUSDT,FORT,USDT,
SUIUSDT,SUI,USDT,
ONGUSDT,ONG,USDT,
GUSDT,G,USDT,
RENDERUSDT,RENDER,USDT,
BONKUSDT,BONK,USDT,
MAGICUSDT,MAGIC,USDT,
PEPEUSDT,PEPE,USDT,
WIFUSDT,WIF,USDT,
